State_code,State,Municipality,Municipal_code,Year,Treatment,MajorHighway,MajorPort,Airports,Railline,Oilline,Intlborder,Shoreline,Poppies,MajCity,Mayor,MayorParty,Attack,Attack_count,Incumbent,Population,Homicidio,id_code
15,Mexico,Zacazonapan,116,2018,1,1,0,0,0,0,0,0,0,0,Víctor Manuel Estrada Garibay,PRI/PVEM/ALIANZA,0,0,0,5823,0,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2018,1,1,0,0,0,0,0,0,0,0,Francisco Morelos Zamora,PSD,0,0,0,23557,0,20-116
21,Puebla,Quimixtlán,116,2018,1,0,0,0,0,0,0,0,0,0,Juan Flores Hernández,PRI/PVEM,0,0,0,23557,2,21-116
30,Veracruz,Oluta,116,2018,0,1,0,0,0,0,0,0,0,0,Jesus Manuel Garduza Salcedo,PAN,0,0,0,23557,1,30-116
7,Chiapas,Marqués de Comillas,116,2019,1,1,0,0,0,0,1,0,0,0,Manuel Justo Gómez Beltrán,MORENA,0,0,0,23557,1,7-116
14,Jalisco,Villa Hidalgo,116,2019,1,1,0,0,0,0,0,0,0,0,María Olivia Reyna Fernández,PAN,0,0,0,23557,1,14-116
15,Mexico,Zacazonapan,116,2019,1,1,0,0,0,0,0,0,0,0,Laura Castelán Hernández,MRN,0,0,0,23557,0,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2019,1,1,0,0,0,0,0,0,0,0,Constantino Cruz Borjas,PSO,0,0,0,23557,2,20-116
21,Puebla,Quimixtlán,116,2019,1,0,0,0,0,0,0,0,0,0,Armando Pimentel Gómez,PAN,0,0,0,2278,1,21-116
30,Veracruz,Oluta,116,2019,0,1,0,0,0,0,0,0,0,0,María Luisa Prieto Duncan,PAN,0,0,0,2278,1,30-116
7,Chiapas,Marqués de Comillas,116,2020,1,1,0,0,0,0,1,0,0,0,Manuel Justo Gómez Beltrán,MORENA,0,0,0,2278,0,7-116
14,Jalisco,Villa Hidalgo,116,2020,1,1,0,0,0,0,0,0,0,0,María Olivia Reyna Fernández,PAN,0,0,0,2278,2,14-116
15,Mexico,Zacazonapan,116,2020,1,1,0,0,0,0,0,0,0,0,Laura Castelán Hernández,MRN,0,0,0,2278,0,15-116
20,Oaxaca,San Bartolomé Ayautla,116,2020,1,1,0,0,0,0,0,0,0,0,Constantino Cruz Borjas,PSO,0,0,0,2278,0,20-116
